ID,memoryGroups,Active,Sex,Age,E1,E2,E3,E4,E5,E6,E7,E8,S1,S2,S3,S4,S5,S6,P1,P2,P3,P4,P5,P6,F1,F2,F3,F4,F5,F6
164,High,TRUE,2,36,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,2,5,3,5,4,3,3,4,4,5
220,High,TRUE,1,63,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,5,3,5,4,4,4,4,4,4,4,4
222,High,TRUE,1,43,1,5,1,1,1,1,1,1,2,5,4,4,3,4,4,2,5,1,2,3,1,1,1,1,5,5
444,High,TRUE,1,34,5,4,5,3,5,5,4,5,4,5,2,2,4,5,1,2,5,2,4,4,5,5,5,5,5,5
586,High,TRUE,2,62,4,4,5,3,4,4,3,4,1,2,2,2,2,4,4,4,4,5,5,5,5,5,5,4,5,5
590,High,TRUE,2,43,5,5,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,5,5,4,4,2,2,2,2,5
601,High,TRUE,1,38,2,2,3,2,2,1,1,1,4,4,4,4,2,4,2,2,4,4,2,4,4,4,2,2,1,5
634,High,TRUE,2,52,5,4,3,4,4,5,1,4,4,4,4,5,4,5,3,2,1,4,4,4,3,4,3,4,4,4
653,High,TRUE,1,50,4,5,5,4,4,3,3,5,4,4,4,5,3,4,4,5,4,4,4,4,4,3,3,4,3,3
717,High,TRUE,2,59,4,5,5,1,5,4,5,4,4,4,2,2,4,5,5,5,5,1,5,4,5,5,5,5,5,5
722,High,TRUE,2,29,5,4,5,4,5,5,2,4,5,4,4,3,5,4,3,3,1,3,5,5,4,3,4,4,4,5
745,High,TRUE,2,68,2,4,2,1,2,1,1,4,5,5,1,5,4,4,2,4,3,2,3,3,4,2,3,3,3,5
770,High,TRUE,2,44,4,4,4,2,3,3,4,3,3,4,4,5,4,4,5,5,4,5,5,3,3,3,3,3,3,3
853,High,TRUE,2,35,4,5,4,1,4,4,1,2,5,4,1,1,5,1,5,5,4,5,5,2,5,5,3,5,5,5
891,High,TRUE,2,66,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5
893,High,TRUE,2,42,3,5,3,5,2,4,1,4,2,2,3,4,2,3,3,2,5,4,1,4,4,3,2,4,4,2
929,High,TRUE,2,68,5,5,4,2,5,5,4,3,4,3,1,3,5,4,1,1,5,5,4,4,5,2,3,5,4,5
995,High,TRUE,2,60,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,1,1,3,1,5,5,5,5,5,5,5
1013,High,TRUE,1,64,4,5,4,2,4,4,2,3,4,4,2,3,5,1,5,5,5,5,5,5,4,4,5,4,4,5
1026,High,TRUE,2,64,5,5,5,5,5,5,3,5,1,1,1,1,5,4,1,1,4,1,4,4,5,5,5,5,5,5
1089,High,TRUE,1,57,1,5,1,1,1,1,1,1,3,5,2,3,5,4,3,2,5,1,4,3,2,2,2,1,2,5
1374,High,TRUE,2,44,4,4,4,5,4,4,4,4,5,4,2,5,5,4,4,4,4,4,4,4,4,4,2,4,4,4
1506,High,TRUE,2,30,5,5,4,5,5,4,4,4,5,4,4,5,5,4,2,2,2,2,2,4,4,4,4,4,4,3
1779,High,TRUE,2,29,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1802,High,TRUE,1,26,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,5,4,4,5
1808,High,TRUE,1,46,5,5,4,1,4,5,1,1,5,1,2,5,1,2,5,1,4,5,5,4,4,5,5,5,5,3
1814,High,TRUE,2,56,4,4,3,4,4,4,4,2,5,5,4,4,5,5,1,1,1,1,1,5,4,1,4,5,4,5
1867,High,TRUE,2,61,5,2,3,1,1,1,2,4,5,5,2,5,4,1,1,2,1,2,5,3,4,3,4,2,4,5
1872,High,TRUE,2,21,4,4,2,4,4,4,5,1,4,4,1,2,4,2,2,2,2,4,4,4,4,2,3,3,4,4
1900,High,TRUE,2,23,4,5,4,1,1,5,1,1,5,1,5,1,1,5,4,5,1,5,1,4,1,1,3,3,4,4
1930,High,TRUE,1,84,5,5,5,5,5,5,5,5,4,4,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
1965,High,TRUE,2,26,2,3,3,1,1,2,2,2,2,5,3,3,3,1,1,4,1,5,4,3,2,3,3,2,4,5
1974,High,TRUE,2,47,2,4,1,1,1,1,1,2,5,2,4,2,4,3,4,4,4,2,4,3,4,4,5,4,2,5
2034,High,TRUE,2,22,4,4,5,4,4,5,3,4,5,5,1,1,5,2,1,3,2,3,5,2,4,4,4,5,5,5
2096,High,TRUE,2,45,5,4,5,4,5,5,3,4,4,4,2,3,5,5,3,4,4,3,4,5,5,5,3,4,4,4
2107,High,TRUE,2,19,4,5,5,4,5,4,2,4,5,5,1,2,4,1,4,4,1,4,4,4,5,5,5,5,5,5
2189,High,TRUE,2,60,4,5,4,4,4,4,3,4,3,4,2,3,4,3,4,4,2,5,5,5,4,2,3,4,4,5
2213,High,TRUE,2,42,4,4,1,1,1,1,3,1,3,5,2,4,2,4,5,5,3,5,5,1,4,4,4,4,4,4
2218,High,TRUE,2,31,5,5,3,3,5,4,2,3,5,5,2,2,5,3,5,5,4,5,5,5,5,4,4,4,4,5
2236,High,TRUE,1,45,4,5,5,5,4,4,5,4,4,4,2,3,5,5,5,5,3,5,5,5,4,5,4,4,4,5
2244,High,TRUE,2,24,5,5,4,5,4,5,5,5,3,4,3,1,5,3,5,5,5,5,5,2,3,4,1,4,4,2
2298,High,TRUE,1,39,5,5,1,3,1,1,2,1,3,5,5,4,4,5,5,5,5,5,4,4,2,2,2,3,3,3
2335,High,TRUE,2,33,1,1,5,2,4,4,4,2,4,5,4,4,4,5,5,5,1,5,4,5,2,2,2,2,2,2
2519,High,TRUE,2,64,4,4,5,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4
2528,High,TRUE,2,30,5,5,4,1,2,2,1,4,5,1,1,5,1,5,4,1,1,5,5,5,5,5,5,5,5,5
2538,High,TRUE,1,19,5,4,4,2,5,3,2,3,3,3,3,5,3,5,4,2,3,4,3,5,3,2,3,3,2,2
2539,High,TRUE,2,41,5,5,4,5,5,4,3,4,5,4,5,4,4,4,4,5,2,5,4,5,5,3,4,4,4,4
2550,High,TRUE,2,37,5,5,5,5,5,4,4,5,3,2,4,4,3,5,5,5,2,5,5,5,3,1,1,4,2,3
2632,High,TRUE,1,34,4,4,4,3,3,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2700,High,TRUE,2,42,5,5,5,4,4,5,4,5,5,2,3,4,4,3,5,4,2,5,4,5,5,5,5,5,5,5
2738,High,TRUE,2,28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,3
2741,High,TRUE,2,21,5,4,3,2,5,5,3,4,4,4,2,3,3,5,3,3,2,3,3,5,5,4,2,5,4,5
2760,High,TRUE,2,19,5,2,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2768,High,TRUE,2,66,4,2,4,2,4,4,1,4,1,1,2,2,1,4,1,1,1,2,4,5,4,4,5,5,5,4
2845,High,TRUE,1,65,5,5,5,4,5,5,2,4,5,5,4,4,4,5,3,2,5,2,4,5,3,4,3,4,4,4
2879,High,TRUE,2,18,5,5,5,5,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2893,High,TRUE,1,34,5,5,2,2,1,1,1,2,4,2,5,5,2,4,3,4,1,4,4,5,5,5,4,5,5,5
2931,High,TRUE,1,69,4,4,4,2,3,5,5,2,5,5,4,5,5,5,1,2,4,3,2,4,4,2,3,5,4,4
3028,High,TRUE,2,37,5,4,3,4,5,3,1,3,5,5,5,3,4,5,5,5,2,5,5,5,5,5,3,4,4,5
3048,High,TRUE,1,19,3,4,2,2,2,1,4,3,5,5,5,5,4,5,5,5,2,5,5,2,1,1,1,4,1,1
3060,High,TRUE,2,20,5,4,5,5,5,5,5,5,5,5,3,4,3,3,5,5,2,5,4,5,5,5,2,5,5,5
3137,High,TRUE,1,41,5,5,5,5,5,5,5,5,4,5,2,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5
3254,High,TRUE,2,63,4,3,4,3,4,4,2,4,2,2,2,3,2,4,4,4,4,4,5,4,2,2,2,2,2,4
3265,High,TRUE,1,36,5,5,4,4,4,4,4,4,4,5,3,4,4,3,1,1,4,2,2,3,4,4,4,4,4,4
